Name,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Number of Employees,Headquarters Location,Founded Date
Viggle AI,Artificial Intelligence (AI),Viggle AI is a pioneering Canadian firm that uses artificial intelligence to enable people of all skill levels to easily create high-quality animated video using simple text instructions.,Viggle AI is a Canadian startup that uses generative artificial intelligence to revolutionize character animation.,"Andreessen Horowitz, Two Small Fish Ventures",Series A,"CA$26,000,000",11-50,"Toronto, Ontario, Canada",2022
Napkin AI,"Generative AI, Graphic Design","Napkin empowers anyone to communicate their ideas visually. With Napkin, you can transform written content into customizable visuals that can be used across Google Docs, Slides, Canva, Slack, Word, PowerPoint, Email, Text, and more. Founded by Pramod Sharma and Jerome Scholler, the creators of AI gaming company Osmo, Napkin emerged from their frustration with lengthy documents and lackluster presentations despite making learning fun for millions of kids. Experiencing firsthand the power of compelling visuals, they founded Napkin to make it easy for anyone to level-up their business communication through compelling visual storytelling. Try it out at napkin.ai","Visual AI for business storytelling. Napkin transforms your text into visuals, perfect for presentations, blogs and more.","Accel, CRV",Seed,"$10,000,000",1-10,"Los Altos, California, United States",Oct 2021
Caldera,"Blockchain, Information Technology","Caldera offers a no-code Web3 infrastructure platform to help developers spin up layer-2 blockchains. It allows users to create, launch, and manage customizable blockchain rollups. It also provides customizable fee structures, or the removal of transaction fees entirely, generating project revenue via transaction, bridge fees, or MEV, and adding support for other programming languages.",Caldera offers a no-code Web3 infrastructure platform to help developers spin up layer-2 blockchains.,"Sequoia Capital, Founders Fund",Series A,"$15,000,000",11-50,"San Francisco, California, United States",Mar 2022
Decagon,"Artificial Intelligence (AI), Software",Decagon creates generative AI for building customer service agents that work much more like humans and its platform gives customer support team leaders more visibility into their automated customer experience operations,Decagon creates generative AI for building customer service agents that work much more like humans.,"Andreessen Horowitz, Accel, Jack Altman",Series A,"$30,000,000",11-50,"San Francisco, California, United States",2023
Factory,"Artificial Intelligence (AI), Developer Tools","Factory is a developer of an AI-based platform for computer codes and software engineering. Its platform reviews code, addresses bugs, answers questions independently, and handles routine tasks like code review, debugging, and refactoring for engineers to delegate tasks and focus on tough questions.",Factory specializes in creating an AI-driven platform designed to streamline computer coding and software engineering processes.,"Sequoia Capital, MANTIS Venture Capital",Series A,"$15,000,000",11-50,"San Francisco, California, United States",Apr 2023
Black Forest Labs,"Artificial Intelligence (AI), Media and Entertainment","Black Forest Labs creates advanced generative deep learning models for images and videos. They focus on making these technologies widely accessible and transparent, ensuring that their innovations are easy to use and understand. This approach aims to democratize access to cutting-edge technology and foster greater trust and utility.","Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency.","Andreessen Horowitz, General Catalyst",Seed,"€28,000,000",11-50,"Freiburg Im Breisgau, Baden-Wurttemberg",2024
Leya,"Artificial Intelligence (AI), Legal","Leya is a legal technology company that develops an artificial intelligence assistant for legal professionals. Its platform offers reliable, referenced responses by integrating internal knowledge databases and external laws, cases, and regulations. It integrates with law firms’ documents, playbooks, templates, and external legal sources and assists lawyers with specific tasks related to reviewing, searching, and drafting, such as filling in transaction checklists, creating key terms reports, and writing memos to name a few.",Leya is a legal technology company that develops an artificial intelligence assistant for legal professionals.,"Y Combinator, Benchmark, Redpoint",Series A,"$25,000,000",11-50,"Stockholm, Stockholms Lan, Sweden",2023
Civitai,"Artificial Intelligence (AI), Consumer Software","Civitai is a community platform dedicated to fine-tuning open-source AI models like Stable Diffusion. Headquartered in Boise, Idaho, United States, Civitai was founded in 2023.",Civitai is a community platform dedicated to fine-tuning open-source AI models like Stable Diffusion.,Andreessen Horowitz,Seed,"$5,100,000",11-50,"San Francisco, California, United States","Jan 6, 2023"
Hippocratic AI,"Artificial Intelligence (AI), Generative AI","Hippocratic AI develops safety-focused large language models with a focus on non-diagnostic, patient-facing applications. The majority of language models undergo pre-training using the common crawl of the Internet, which might contain inaccurate and deceptive information. In contrast, Hippocratic AI is significantly prioritizing the acquisition of evidence-based healthcare content through legal means, setting it apart from these language models.","Hippocratic AI aims to develop the first Large Language Model (LLM) specifically designed for healthcare, prioritizing safety and accuracy.","Andreessen Horowitz, General Catalyst",Series A,"$17,000,000",11-50,"Palo Alto, California, United States",2022
knownwell,"Health Care, Medical, Primary and Urgent Care","Knownwell is a weight-inclusive healthcare clinic operator that aims to give people patient-centered and expert-led care. The platform of the company focuses on providing care that addresses the physical, mental, and emotional aspects of weight loss and offers a variety of services such as metabolic health services, comprehensive primary care, nutrition counseling, and behavioral health services to help patients achieve their health goals.",Knownwell is a weight-inclusive healthcare clinic operator that aims to serve patients.,"Andreessen Horowitz, Flare Capital Partners",Series A,"$20,000,000",11-50,"Needham, Massachusetts, United States",2022
Veri,"Apps, Consumer, Health Care",Veri helps health-conscious individuals achieve optimal metabolic health through a blood sugar sensor and an iOS app.,"Veri we help health-concious individuals improve their metabolic health by helping them understand what, when and how to eat.","Accel, Lifeline Ventures, PROfounders Capital",Series A,"€7,500,000",11-50,"Helsinki, Southern Finland, Finland","Feb 1, 2020"
Foundry,"Artificial Intelligence (AI), Cloud Computing","Foundry is a public cloud supported by an orchestration platform designed to simplify the utilization of AI computing resources. Foundry addresses fundamental economic and technical obstacles encountered in AI and deep learning. Current challenges faced by businesses, such as the notable GPU scarcity and inefficient use of computing capabilities, hinder their effective utilization of resources. Foundry employs pioneering approaches to overcome these hurdles, offering scalable GPU instances with unparalleled price-performance ratios.",Foundry is a public cloud supported by an orchestration platform designed to simplify the utilization of AI computing resources.,"Sequoia Capital, Lightspeed Venture Partners",Series A,"$80,000,000",11-50,"Palo Alto, California, United States",2022
Doppel,"Artificial Intelligence (AI), Cyber Security","Doppel serves a critical business function for protecting clients' brand and their customers. Their platform has given corporate partners peace of mind by scanning millions of domains, social media accounts, mobile apps, and more for phishing, account takeovers, and other digital threats. Doppel's AI models allow them to classify threats accurately and in real-time -- leading to faster takedowns. Doppel was established in 2022.","Doppel is the modern digital risk protection platform. It protects brands against phishing, account takeovers, and other digital threats.","Andreessen Horowitz, Quiet Capital",Series A,"$18,849,952",11-50,"Covina, California, United States",2022
Sema4.ai,"Artificial Intelligence (AI), Software",Sema4.ai's mission is to define the future of knowledge work by creating intelligent agents that alter how knowledge workers interact with AI.,Sema4.ai's mission is to define the future of knowledge work by creating intelligent agents that alter how humans engage with AI.,"Benchmark, Mayfield Fund, Canvas Ventures",Series A,"$30,500,000",11-50,"Atlanta, Georgia, United States",2024
Dust,"Artificial Intelligence (AI), Natural Language Processing","Dust is a company that provides an AI platform for businesses to build and deploy customized virtual assistants tailored to their specific needs. The platform enables companies to keep internal content and knowledge up-to-date, enhance collaboration and onboarding across teams, and accelerate workflows in areas like marketing, sales, data analysis, and engineering. Dust's AI-powered assistants help companies leverage their existing data and expertise to drive efficiency and productivity.",Dust is a modular technology platform that builds customized AI assistance to enhance and optimize workflows.,"Sequoia Capital, Tiny VC, Seedcamp",Series A,"€15,000,000",1-10,"Paris, Ile-de-France, France",2023
Udio,"Artificial Intelligence (AI), Information Technology",Udio is an AI-powered music creation app that offers a platform for instant music creation.,Udio is an AI-powered music creation app that offers a platform for instant music creation.,"Andreessen Horowitz, UnitedMasters",Seed,"$10,000,000",1-10,"New York, New York, United States",2023
Tacto,"Artificial Intelligence (AI), Enterprise Software","Tacto revolutionizes procurement with its cloud-based software, building future-proof supply chains for industrial organizations. As the central hub connecting these organizations with their supplier base, Tacto streamlines procurement processes, ensures compliant supply chains and enables efficient material sourcing at optimal conditions. Automating manual processes, Tacto's platform ensures regulatory compliance with supply chain acts. Its AI identifies cost-saving opportunities by analyzing price fluctuations in key cost drivers and comparing them to actual procurement spend. Navigating the supplier landscape can be a daunting task, particularly for industrial SMEs. Tacto eliminates the challenges by empowering our customers to move away from outdated methods like email and spreadsheets. The intelligent platform provides a seamless and transparent experience, simplifying all aspects of supplier management - digital, efficient & sustainable.","Tacto optimizes procurement, ensuring compliance, sustainability, and efficient material sourcing for mid-sized industrial firms.","Sequoia Capital, Index Ventures",Series A,"€50,000,000",11-50,"Munich, Bayern, Germany","Jan 1, 2020"
Eclipse,"Blockchain, Ethereum","Eclipse is building Ethereum's first Solana Virtual Machine Layer 2. While other L2 networks on Ethereum focus on providing Ethereum Virtual Machine (EVM) compatibility, Eclipse leans into performance improvements developed by the Solana Layer 1 and adds additional verification features to deploy the blockchain as a rollup. The Eclipse team includes veterans from dYdX, Uniswap, Citadel, and Airbnb. Eclipse Labs is backed by top investors including Polychain, Placeholder, and DBA.","Eclipse is Ethereum's fastest L2, powered by the Solana Virtual Machine.","Apollo, Polychain, OKX Ventures",Series A,"$50,000,000",11-50,"San Francisco, California, United States",Sep 2022
Syrup Tech,"Artificial Intelligence (AI), E-Commerce","Syrup Tech is a machine-learning decision-support engine for inventory in commerce. The company uses advanced demand forecasting and stochastic optimizations. Syrup Tech's software empowers brands and retailers to significantly increase full-priced inventory sell-through by (1) preventing stock-outs and end-of-season markdowns, (2) decrease unnecessary excess inventory and reduce overproduction, and (3) reduce the time spent on manual tasks for stretched merchandising and planning teams.","Predictive software for inventory decision-making in commerce, powered by AI/ML.","Accel, Gradient, 1984 Ventures",Series A,"$17,800,000",11-50,"New York, New York, United States","Jul 9, 2020"
Black Ore Technologies,"Artificial Intelligence (AI), Finance","Black Ore Technologies is an AI-driven financial services company. It develops and creates an AI product called Tax Autopilot, that offers end-to-end 1040 tax prep automation for CPAs and tax firms. Black Ore Technologies was founded in 2022 and is based in Texas, USA.",Black Ore Technologies is an AI-driven financial services company.,"Khosla Ventures, Andreessen Horowitz",Seed,"$60,000,000",11-50,"Austin, Texas, United States",2022
LogX,"Decentralized Finance (DeFi)","About LogX LogX is the leading Perpetual DEX on Layer 2 networks. Supported by top-tier investors like Sequoia Capital Coinbase Ventures IOSG Hashed and more LogX combines a simple user friendly interface with extremely fast order matching built on proprietary scalable infrastructure. Currently live on 15+ networks LogX stands out as the most omnipresent Perp DEX in the market. We offer two distinct products to cater to different types of traders 1. LogX Pro: An advanced order book-based platform designed for experienced traders, live on three networks. 2. LogX OG: Featuring an innovative AMM based DAMN pool infrastructure, built for scalability and live on over 10 networks, perfect for new traders. Our Competitive Edge and Uniqueness: - Low Cost High Liquidity Offering: LogX sets a new standard in decentralized trading with unmatched cost efficiency and high liquidity across multiple pairs. - Technological Superiority: Our DAMN-based AMM pool enables rapid deployment of perpetual DEXs on new networks and ecosystems. - AI-Based Trading Bots: We are the first in the perps industry to offer fully functional AI trading bots executing strategies like grid trading. At LogX we prioritize composability seamlessly integrating with other protocols while allowing other protocols to integrate with us. This makes LogX a versatile choice for applications like wallets copy trading platforms and analytics platforms.",LogX is a leading Perpetuals DEX on Layer 2 Networks. Backed by investors like Coinbase Ventures Sequoia Capital Hashed EM and more!,"Gate.io, CoinSwitch, Sequoia Capital",Seed,"$4,000,000",11-50,"Bengaluru, Karnataka, India","Nov 11, 2021"
Adaptive Real Estate,"Construction, Financial Services",Adaptive Real Estate helps construction teams save time and money. Lots of it.,Adaptive Real Estate helps construction teams save time and money.,"Andreessen Horowitz, Emergence",Series A,"$19,000,000",1-10,"New York, New York, United States",2021
Blockaid,"Blockchain, Network Security","Blockaid enable builders to protect users from fraud, phishing and hacks.","Blockaid enable builders to protect users from fraud, phishing and hacks.","Sequoia Capital, Ribbit Capital",Series A,"$33,000,000",11-50,"Tel Aviv-jaffa, Tel Aviv, Israel",2022
nsave,"Banking, Financial Services, FinTech","nsave provides offshore saving accounts for the middle-class in distressed economies. Think countries with high inflation, banks that cap withdrawals, no trust in banks, or no financial services like insurance and investments. By leveraging emerging technologies, Swiss financial infrastructure, and its recent regulatory changes, Masref provides the middle class in these countries with what they never had – a safe place to store their savings. Masref will first provide simple saving accounts, before offering other financial services.","nsave is a digital banking services platform that offers a secure and safe way to save in USD, EUR, GBP, or other currencies.","Sequoia Capital, Y Combinator",Seed,"$4,000,000",1-10,"Oxford, Oxfordshire, United Kingdom",Sep 2022
Summer Health,"Health Care, Home Health Care","Summer Health is the first step and ongoing tool for anyone navigating health concerns, offering timely text access to high-quality healthcare professionals who provide expert answers and reliable advice over text.",Summer Health is a pediatric telehealth startup.,"Sequoia Capital, Lux Capital, BoxGroup",Series A,"$11,650,000",1-10,"New York, New York, United States",2022
Allium,"Analytics, Blockchain, Cryptocurrency","Allium offers on-chain data infrastructure solutions, including managed blockchain databases and enriched data schemas. The platform supports over 40 blockchains and provides real-time alerting capabilities for various applications. Allium enables users to perform complex queries efficiently, enhancing data exploration and integration into existing workflows.",Allium is a data platform that develops applications and analyzes blockchain activities.,"Kleiner Perkins, Theory Ventures",Series A,"$16,500,000",11-50,"New York, New York, United States","Apr 21, 2021"
Privy,"Cyber Security, Developer APIs","Privy creates authentication, authorization, and data control tooling to enable developers to create products that keep users safe. It creates simple, powerful APIs for managing user data, allowing them to easily integrate user data into their products. Privy bridges the gap between users' on-chain activity and their off-chain data, allowing users to create delightful experiences without putting themselves or the product at risk.",Simple APIs to help developers manage user data privately in Web3,"Sequoia Capital, BlueYard Capital",Series A,"$18,000,000",11-50,"New York, New York, United States",2021
XFactor,"Analytics, Artificial Intelligence (AI)","XFactor is a corporate decision platform developer that uses artificial intelligence to assist with planning and strategy. The corporate platform syncs trillions of data points by combining historical and real-time key indicators from both internal and external sources in relevant marketplaces, allowing organizations to analyze sales success in real time continuously.",XFactor is a developer of a corporate decision platform that uses artificial intelligence to assist with planning and strategy.,"Accel, Lightspeed Venture Partners",Series A,"$16,000,000",11-50,"San Francisco, California, United States",2022
Rainforest,"Financial Services, FinTech, Payments","Rainforest focuses on providing software platforms for payment processing. Rainforest is headquartered in Atlanta, United States.",Rainforest focuses on providing software platforms for payment processing.,"Accel, Matrix, BoxGroup, Silicon Valley Bank",Series A,"$20,000,000",11-50,"Atlanta, Georgia, United States",Jan 2022
Valar Labs,"Artificial Intelligence (AI), Health Care","Valar Labs offers assistance services for cancer treatment through Artificial Intelligence. Founded by Anirudh Joshi, Viswesh Krishna, Pranav Rajpurkar, and Damir Vrabac in 2021, Valar Labs unlocks the potential of imaging data that is already part of routine clinical care to help guide oncologists with treatment decisions.",Valar Labs offers assistance services for cancer treatment through Artificial Intelligence.,"Andreessen Horowitz, Pear VC",Series A,"$22,000,000",1-10,"Palo Alto, California, United States",2021
Enterpret,"Analytics, Artificial Intelligence (AI)","Enterpret allows the companies to analyze their customer's feedback and help them build new products. The company was founded in 2020 by Varun Sharma and Arnav Sharma and is headquartered in San Francisco, California, United States.",Enterpret allows the companies to analyze their customer's feedback and help them build new products.,"Kleiner Perkins, Peak XV Partners",Seed,"$4,300,000",11-50,"San Francisco, California, United States",2020
Kaedim,"3D Technology, Artificial Intelligence (AI)","Whether you're creating VR games or 3D art, Kaedim can generate high-quality 3D models for you. Kaedim allows people to create 3D art with only an image.",AI for turning 2D images into 3D models,"Andreessen Horowitz, Pioneer Fund",Series A,"$15,000,000",11-50,"London, England, United Kingdom","Feb 10, 2020"
Fibr,"A/B Testing, Artificial Intelligence (AI)","Fibr is a cutting-edge AI-powered platform designed to tackle the escalating challenge of customer acquisition costs (CAC) in a rapidly evolving digital landscape. As third-party cookies are phased out and privacy regulations become more stringent, traditional marketing methods are increasingly insufficient for driving down CAC and maximizing ROI. Fibr addresses this issue with its advanced personalization solutions, which enhance the effectiveness of every marketing interaction. The company's Web Pilot is an innovative tool that generates personalized, landing pages for every ad, email, and communication. This technology ensures that each user interaction is tailored to individual preferences and behaviors, significantly improving engagement and conversion rates. By providing a personalized experience across all touchpoints, Fibr helps businesses optimize their marketing spend and reduce CAC effectively. Complementing Web Pilot is Fibr’s AI Blocks, which simplifies adapting and repurposing successful content across different formats and channels. This tool ensures that marketing messages remain relevant and compelling, whether used in ads, social media posts, or emails. With Fibr, businesses can deliver cohesive, on-brand experiences at scale, streamline content creation, and achieve superior marketing results. By leveraging Fibr’s AI-driven personalization, companies can navigate the challenges of a cookie-less future and drive down CAC, making their marketing efforts more efficient and impactful.",Fibr is an AI-powered personalization platform that helps brands improve conversion rates.,"Accel, Kunal Shah, Sprint Vc, 2am VC",Seed,"$1,800,000",11-50,"Dover, Delaware, United States","Dec 28, 2022"
Turnkey,"Blockchain, Cryptocurrency, Cyber Security",Turnkey is a provider of scalable wallet infrastructure for crypto developers to manage private keys. Its product suite enables developers to build anything that involves a wallet or cryptographic transaction to generate and manage private keys across blockchains without compromising on security.,Turnkey is a private key infrastructure provider that offers secure APIs to manage private keys.,"Sequoia Capital, Gemini, Alchemy",Series A,"$15,000,000",11-50,"New York, New York, United States",2022
Proof of Play,"Blockchain, Gaming, Virtual Reality","Proof of Play creates games that are defining for a generation because they essentially give players control and ownership. The company was founded in 2022 and is based in New York, New York, USA.",Proof of Play creates games that are defining for a generation because they essentially give players control and ownership.,"Andreessen Horowitz, Greenoaks",Seed,"$33,000,000",1-10,"New York, New York, United States",2022
Moment,"Analytics, Financial Services, FinTech","Moment is an operator of a fixed-income infrastructure for modern firms. The company's goal is to deliver modern fixed-income solutions to global fintechs, traditional brokerages, and registered investment advisors to make markets more equitable and accessible.",Moment is an operator of a fixed-income infrastructure for modern firms.,"Andreessen Horowitz, Evolution Ventures",Series A,"$17,000,000",1-10,"New York, New York, United States",2022
Together AI,"Artificial Intelligence (AI), Generative AI","Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models. The company contributes cutting-edge open-source research, models, and datasets to push the boundaries of AI forward. Through its decentralized cloud services, developers and researchers at organizations of various scales are empowered to train, refine, and deploy generative AI models.",Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models.,"NVIDIA, First Round Capital, Robot Ventures",Series A,"$106,000,000",11-50,"San Francisco, California, United States","Jun 11, 2022"
Alison AI,"Artificial Intelligence (AI), Enterprise Software","Alison is the world's best AI-powered creative (Video) Analysis platform. From ideation to optimization to production, Alison makes it easier than ever to create Videos with the highest likelihood of success. Our unique SaaS technology allows businesses to identify their top-performing elements in creatives, get full-funnel data, and perform intelligent competitive analysis. Stop the guesswork and start making results-driven creatives!",Alison.ai is the world's best AI-powered creative (Video) Analysis platform.,"Andreessen Horowitz, Cardumen Capital",Pre-Seed,"$5,100,000",11-50,"Tel Aviv-yafo, Tel Aviv, Israel",Jan 2022
Spruce,"Analytics, Blockchain, Cryptocurrency",Spruce is building a future where users control their identity and data across all digital interactions.,Spruce is building a future where users control their identity and data across all digital interactions.,"Techstars, Andreessen Horowitz",Series A,"$34,000,000",11-50,"New York, New York, United States","May 13, 2020"
Optimizer AI,"Artificial Intelligence (AI), Information Technology",Optimizer AI creates AI technology to swiftly and simply generate resources required for game and content development.,Optimizer AI creates AI technology to swiftly and simply generate resources required for game and content development.,"Andreessen Horowitz, Krew Capital",Pre-Seed,"₩1,000,000,000",1-10,"San Francisco, California, United States",Jul 2023
Bold,"Fitness, Health Care, Wellness","Bold is an at-home digital fitness program designed to help older adults live their strongest, happiest, and healthiest lives. As a member, you’ll enjoy instant access to expert trainers, scientific assessments, and personalized workout plans to help you improve your strength, flexibility, and balance — so you can chase the life you want, at any age.","Empowering exercise programs designed just for you, so you can chase the life you want at any age.","Khosla Ventures, Andreessen Horowitz",Series A,"$17,000,000",11-50,"San Mateo, California, United States",2020
Stonks,"Finance, Financial Services, FinTech","Stonks develops a crowdfunding platform for startups and small businesses. Users of the portal can find startups supported by VCs, angel investors, and accelerators.",Stonks develops a crowdfunding platform for startups and small businesses.,"Andreessen Horowitz, 500 Global",Seed,—,11-50,"San Francisco, California, United States",2020
LangChain,"Artificial Intelligence (AI), Database","LangChain is a language model application development library that develops a language model framework to power applications that integrate with other sources of data and interact with their environment. Its platform also offers support for various model types, prompt management, memory, indexing, chains, and agents to help developers create generative artificial intelligence like personal assistants, question-answering bots, chatbots, and data querying.",LangChain enables developers to accelerate their LLM application workflows by overseeing the entire project lifecycle.,"Sequoia Capital, Benchmark",Series A,"$25,000,000",11-50,"San Francisco, California, United States",2022
Metaphor,"Analytics, Artificial Intelligence (AI)","Metaphor is a search and discovery tool built for data scientists, data engineers, and AI practitioners. It aims to help all organizations better understand and manage their data through the power of the metadata knowledge graph.","Metaphor is a search and discovery tool built for data scientists, data engineers, and AI practitioners.","Andreessen Horowitz, Point72 Ventures",Seed,"$5,000,000",11-50,"San Francisco, California, United States",Oct 2020
Cosmos,"Artificial Intelligence (AI), Content","Cosmos is a Pinterest alternative for creatives. Save anything on the web, curate into clusters, and share with the world.",Cosmos is a Pinterest alternative for creatives.,"Accel, Google Ventures",Seed,"$6,000,000",1-10,"New York, New York, United States",2021
Locofy,"Artificial Intelligence (AI), Enterprise Software","Locofy provides a service that converts designs into code. Locofy.ai aims to take away the menial work of engineers without adding complexity i.e. automating 50% or more of the current workflow starting with frontend code, allowing teams to convert their designs to code and an interactive and responsive live prototype (that runs on code), without writing a single line of code.",Locofy provides a service that converts designs into code.,"Accel, Golden Gate Ventures, January Capital",Pre-Seed,"$4,250,000",11-50,"Singapore, Central Region, Singapore",2021
Rhythms,"Artificial Intelligence (AI), Internet","Rhythms offers generative AI, the prevalence of hybrid workplaces, the imperative to do more with less are reshaping organizations function.","Rhythms offers generative AI, the prevalence of hybrid workplaces, the imperative to do more with less are reshaping organizations function.","Greenoaks, Accel, Madrona, Cercano Management",Seed,"$26,000,000",1-10,"Bellevue, Washington, United States",2023
Vesta,"Financial Services, FinTech, Software","Vesta provides next-generation LOS that enables lenders across the board to build customized workflows that enable a more efficient, easy-to-use, and expedient lending process.",Vesta is building the next generation loan origination system.,"Andreessen Horowitz, Index Ventures",Series A,"$30,000,000",11-50,"San Francisco, California, United States",2020
Poggio Labs,"Analytics, Cloud Data Services","Poggio Labs develops customer data applications. It was founded in 2021 and is headquartered in San Francisco, California.",Poggio Labs develops customer data applications.,"Accel, Spark Capital, Mischief",Seed,"$6,000,000",11-50,"San Francisco, California, United States",2021
Wizard,"Artificial Intelligence (AI), E-Commerce",Wizard operates a commerce technology startup to transform e-commerce with conversational AI. The company was founded in 2021 and is headquartered in New York.,Wizard operates a commerce technology startup to transform e-commerce with conversational AI.,"Accel, New Enterprise Associates",Series A,"$50,000,000",11-50,"New York, New York, United States","Sep 1, 2021"
APEX,"Artificial Intelligence (AI), Computer",APEX is an AI security company that provides organizations to get visibility of GenAI activity and much needed security platform.,APEX is a AI security company that provides organizations to get visibility of GenAI activity.,"Sequoia Capital, Index Ventures",Seed,"$7,000,000",11-50,"Tel Aviv, Tel Aviv, Israel",2023
Xaver,"Asset Management, Banking","Xaver enables Financial Institutions to close Europe’s pension gap. By offering an advanced AI-driven B2B platform for life insurance and private pension sales, Xaver enhances the operational and sales efficiency of banks, insurers, and brokers by up to 65% and introduces a new era of white-labeled private pension products. With a leadership team of experienced industry veterans - Max Bachem, Ole Breulmann, and Dr. Björn Holste - and backing from leading VC funds and a prominent group of former financial institution executives, fintech pioneers, and unicorn founders, Xaver is dedicated to improving the pension situation of Europeans through their B2B offering.",Xaver combines personalised digital funnels with AI-assisted personal customer interactions to forge a seamless omni-channel experience.,"Sequoia Capital, Notion Capital",Pre-Seed,"€5,690,000",11-50,"Köln, Nordrhein-Westfalen, Germany","Jun 7, 2023"
MedScout,"Health Care, Medical, Sales, Software",MedScout is a revenue acceleration platform for medical device and diagnostic companies. MedScout combines the most recent medical claims intelligence from public and private payors with an easy-to-use user interface designed specifically for sales professionals and leaders at growing medical device and diagnostic companies. MedScout provides clients with immediate insight into the addressable market within their current territories and enables them to easily understand the implications of any changes.,MedScout is a revenue acceleration platform for medical device and diagnostic companies.,"Andreessen Horowitz, Alumni Ventures",Series A,"$15,000,000",11-50,"Austin, Texas, United States",2021
