Name,Logo URL,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Total Funding Equity,Number of Employees,Headquarters Location,Competitors,Founded Date
NayaOne,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/hnhghsryrwnmo9rxjxv1","Communities, Financial Services, FinTech, Information Technology","NayaOne is a fintech platform developer focused on delivering financial goods and services through collaborative efforts. The company's software enables financial institutions to quickly design and securely analyze new proposals before scaling them to production, giving businesses the freedom to respond and adapt to changing financial markets.",NayaOne is a fintech platform developer focused on delivering financial goods and services through partnerships.,"EJF Capital, Carthona Capital, Valley Ventures",Seed,"$4,700,000","$6,228,559",11-50,"London, England, United Kingdom",13,"Jul 23, 2019"
Kiln,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/e3ysxa7r5reu1rfycfso","Blockchain, Cryptocurrency","Kiln creates an enterprise-level pledge platform and provides one-click pledge services for encrypted assets. It develops validator-independent APIs and services to enable multi-provider staking. Digital assets can be staked wherever they are held, including wallets, custodians, and exchanges. As the industry evolves and the need to integrate multiple stakeholder players becomes apparent, Kiln is in an excellent position to act as an aggregator and accelerate it. The company was founded in 2018 and is based in Paris, France.",Kiln creates an enterprise-level pledge platform and provides one-click pledge services for encrypted assets.,"ConsenSys, Kima Ventures, Crypto.com, LBank, Alven",Series A,"$17,000,000","$39,583,891",11-50,"Paris, Ile-de-France, France",9,2018
Venteur,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/pktqairnrh0x1d7bjnbd","Artificial Intelligence (AI), Employee Benefits, Finance, Financial Services, Health Care, Insurance, InsurTech, Marketplace","Venteur helps businesses to save money on their health insurance costs, while simultaneously giving their people greater choice and control over their health care. Instead of offering a traditional group health insurance plan, businesses are able to provide their employees with tax-free money via an Individual Coverage Health Reimbursement Arrangement (ICHRA). Venteur's AI decision support tools guide employees on how to spend this money and optimize their health and financial wellness.",Venteur helps businesses to provide more affordable and personalized health insurance options to their employees.,"Techstars, Plug and Play, GSR Ventures, Headwater Ventures, Health Engine",Seed,"$7,600,000","$7,720,000",11-50,"Berkeley, California, United States",123,2021
Adaptive ML,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fih71x3hcg6ygflikepk","A/B Testing, Artificial Intelligence (AI), Information Technology, Machine Learning","Adaptive is working on a method to improve the process known as reinforcement learning from human feedback, or RLHF.",Adaptive ML is a technology firm that develops an LLM platform to help companies train and deploy language models using user feedback.,"Index Ventures, Motier Ventures, Databricks Ventures, Financiere Saint James, Factorial Capital",Series A,"$20,000,000","$20,000,000",11-50,"Paris, Ile-de-France, France",9,2023
bunch,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/xeelvp2hifoqdcp1qcye","Financial Services, FinTech, Software","bunch is the operating system (OS) for private market investing, digitizing entity creation, seamless investor onboarding and portfolio management. The company's platform focuses on saving time, money and mental energy by eliminating legacy intermediaries, overwhelming regulatory complexity, and low-tech administration. Operating across legal structures, asset classes and jurisdictions allows bunch to fully unlock private markets for everyone, enabling businesses and investors to make private markets easy, cost-efficient and fast.",bunch technology is the Operating System for private markets.,"Tiny VC, Cherry Ventures, Motive Ventures, Philipp Moehring, Discovery Ventures",Series A,"$15,500,000","$22,894,397",11-50,"Berlin, Berlin, Germany",9,Nov 2021
Aporia,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/s80sbbyowwxcnvinihmo","Analytics, Application Performance Management, Big Data, Cloud Data Services, Cloud Infrastructure, Data Visualization, Generative AI, Information Technology, Privacy, Security","Aporia is the leading AI Control Platform, trusted by both emerging tech startups and established Fortune 500 companies to guarantee the privacy, security, and reliability of AI applications. With Aporia, organizations gain robust guardrails for AI, effectively mitigating hallucinations, data leakage, and prompt attacks in real time. At the heart of the guardrails detection engine lies Aporia Labs, a team comprised of AI and cybersecurity specialists. This team is dedicated to continuously researching and developing cutting-edge methods for identifying and mitigating hallucinations and prompt attacks, ensuring the protection of your brand's reputation and the trust of your users.",The AI Control Platform,"Vertex Ventures, Tiger Global Management, TLV Partners, Samsung NEXT, Tal Ventures",Series A,"$25,000,000","$30,000,000",51-100,"San Jose, California, United States",8,"Sep 1, 2019"
Timefold,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/e4fe412c0a8b4757a048dd07fec04317","Artificial Intelligence (AI), Open Source, Scheduling, Software","Timefold is a company that provides PlanningAI solutions for complex scheduling and routing challenges. The platform allows users to create and manage schedules in real-time while ensuring compliance with operational constraints. With seamless API integration and scalable models, Timefold enhances planning efficiency for enterprise organizations.",Timefold is a platform that optimizes complex scheduling and routing tasks.,"Lakestar, SmartFin, Thomas Bonte",Seed,"€6,000,000","€8,000,000",11-50,"Ghent, Oost-Vlaanderen, Belgium",10,"Dec 8, 2022"
Harness Wealth,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vbhscbxli8sf6jslcxmm","Consulting, Financial Services, FinTech, Wealth Management","Harness Wealth is the next generation wealth management solution created for builders - individuals founding, scaling, and investing in businesses. It is a holistic wealth platform that seeks to make bespoke financial advice accessible, intuitive, and valuable through a combination of innovative technology and exceptional advisory firms.",Harness Wealth provides the next generation of builders confidence in their best financial future.,"FJ Labs, Bain Capital Ventures, Activant Capital, Torch Capital, Liquid 2 Ventures",Series A,"$17,000,000","$36,000,000",11-50,"New York, New York, United States",9,2018
Antenna,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/losqtwhsr4anzewzv1ft","Analytics, Information Technology, Software","Antenna provides best-in-class market intelligence to direct-to-consumer subscription businesses. Antenna is a data and analytics startup that aims to expand knowledge of subscriber behavior so brands can entertain, inspire, and empower the world. It provides industry and competitive benchmarks across key metrics so their customers can know ‘what good looks like’, market intelligence so they can learn how to build a best-in-class business, and insights to inform their strategic decision-making.",Antenna provides market intelligence to direct-to-consumer subscription businesses.,"Raine Ventures, Growth Strategy Group, Imagination Capital, BDMI, Waverley Capital",Series A,"$10,000,000","$14,200,000",11-50,"New York, New York, United States",3,2019
ConverseNow,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qygtof8tnz7ehewau1oz","Artificial Intelligence (AI), Customer Service, Food and Beverage, Machine Learning, Natural Language Processing, Software","ConverseNow provides virtual assistants for consumer-facing businesses to best serve their clientele. ConverseNow’s best-in-class voice AI technology provides a much-needed solution for the $870B chain restaurant market to overcome labor shortages and boost performance from high-volume voice channels such as phone, drive-thru, self-service kiosks, and voice-assisted chat. Partnering with a growing list of multinational and national brands, ConverseNow has helped restaurants boost same-store sales up to 31%, increase average tickets up to 25%, and provide up to 90 hours of additional labor per store each month. Founded in 2018 by Vinay Shukla and Rahul Aggarwal, ConverseNow is headquartered in Austin, Texas.",ConverseNow develops a personalized and natural two-way conversation platform for the restaurant ordering experience.,"Craft Ventures, LiveOak Ventures, Moneta Ventures, Enlightened Hospitality Investments, 2048 Ventures",Series A,"$10,000,000","$28,250,000",51-100,"Austin, Texas, United States",5,Apr 2018
Conduit,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/tvgdqh6vju2a9pq1uwsp","Financial Services, FinTech, Information Technology, Payments","Conduit is a better way for global businesses to simply and cheaply move money with faster speed, better visibility and fewer steps than traditional payment rails. Why choose Conduit? With the Conduit payments platform, your entire team has the tools they need to move money between USD and multiple local Latam currencies. Our dashboard is simple to use, with better transparency and faster, more exact quotes than alternatives.","Conduit is a better way for global businesses to simply and cheaply move money with faster speed, better visibility and fewer steps.","Gradient, Gaingels, Inovia Capital, Helios Investment Partners, Jump Crypto",Seed,"$6,000,000","$23,000,000",11-50,"Boston, Massachusetts, United States",9,2021
Baselayer,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/xqqhmjaiistgoos4rrar","B2B, Credit Bureau, Cyber Security, Financial Services, FinTech, Fraud Detection, Identity Management","Baselayer automates business risk assessment and eliminates B2B fraud in the financial sector. It offers services such as business verification (KYB), fraud detection, business onboarding optimization, risk profiling, portfolio monitoring & alerting, and workflow automation. Baselayer empowers 100s of financial institutions, government agencies, lenders, and fintech to unlock instant trust with any business in America.",Baselayer automates business risk assessment and eliminates B2B fraud in the financial sector.,"Afore Capital, Picus Capital, Four Acres Capital, Picks & Shovels, Founder Collective",Seed,"$6,500,000","$6,500,000",11-50,"New York, New York, United States",—,2023
Bitwave,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/beyw4cr4ul2fcdey1kdk","Accounting, Blockchain, Cryptocurrency, Financial Services, Information Technology, Software","Bitwave is a developer of financial software that enables companies to include digital assets in their accounting records and operational procedures. The company provides software that helps businesses easily manage their transactions involving digital assets. This software includes tax tracking, bookkeeping, Decentralized Finance (Defi) monitoring, and cryptocurrency accounts receivable or payable. Bitwave was established in 2018 by Amy Kalnoki and Patrick White in San Francisco, California.",Bitwave is a digital asset management platform that supplies back-office software solutions to enterprises that accept cryptocurrencies.,"Alumni Ventures, Hack VC, Arca, Valor Equity Partners, Blockchain Capital",Series A,"$15,000,000","$22,250,000",51-100,"San Francisco, California, United States",9,2018
Procurement Sciences AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/avszloqjei4gzruy2xhh","Artificial Intelligence (AI), B2B, Enterprise Software, Machine Learning, Software","Procurement Sciences is a leading technology company specializing in AI-driven solutions for the government contracting sector. Our flagship product, Awarded AI, is an end-to-end platform designed to streamline business development, capture, and proposal management. With features like AI-powered opportunity search, advanced proposal generation, and compliance checking, Awarded AI empowers contractors to enhance efficiency and win rates. Built specifically for GovCon, our solution offers unmatched security and customization, making it ideal for contractors of all sizes looking to gain a competitive edge in the federal marketplace.",Procurement Sciences AI: Vertical AI SaaS for automating the complete business winning process for Government Contractors using AI Agents.,"Blu Venture Investors, K Street Capital, Tower Research Capital, LLC., Battery Ventures",Series A,"$10,000,000","$11,200,000",11-50,"Boston, Massachusetts, United States",7,"Dec 1, 2022"
Aria,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/c57c904176ae4f39914b0c428e26b81e","Finance, Financial Services, FinTech","On a mission to help small businesses grow exponentially with Payment-terms-as-a-Service. At Aria, we believe that: - When payments go fast, businesses grow fast - it’s that simple! - Managing payments and credits at scale is the way for endless growth - our API offers high stability and extensible limits - The service and support of our teams is just as important as the financing solution we provide - we’re not just another tech product Aria was founded in 2020 and is based in Paris, France.",Deferred payment infrastructure for b2b software.,"13books Capital, M&G Investments, Kima Ventures, Otium Capital, Mark Ransford",Series A,"€15,000,000","€19,000,000",11-50,"Paris, Ile-de-France, France",7,2020
Hypersonix,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ux1tflofijn0e8aedpyi","Artificial Intelligence (AI), B2B, E-Commerce, Machine Learning, SaaS, Sales Automation","Hypersonix is designed to help direct to consumer businesses drive profitable revenue growth by providing a system of actionable intelligence and recommendations. Hypersonix persistently monitors various commerce systems and data signals to optimize financial performance with predictions that have prescriptive recommendation. The product is completely comprehensive in that the entire insights, action, testing and performance measurement are contained to ensure accuracy and time to completion. Its an easy bolt on to e-commerce platforms.",Hypersonix helps ecommerce companies drive profitable revenue growth by providing a system of actionable intelligence.,"Intel Capital, Firebolt Ventures, B Capital, Gokul Rajaram, Evolution Ventures",Series B,"$35,000,000","$50,100,000",51-100,"San Jose, California, United States",2,May 2018
Yurts Technologies Inc,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ixcf5cb5tvcbvh2jhnrx","Artificial Intelligence (AI), Software",Yurts is a Generative AI platform that is enterprise-ready. Its mission is to help individuals connect with their finest work. The company is revolutionizing knowledge management and enterprise processes at scale by combining Large Language Models (LLMs) and the practical power of GenAI applications.,"A secure, deployable, full-stack platform for LLMs","XYZ Venture Capital, Bloomberg Beta, Mango Capital, Nava Ventures, Essence VC",Series A,"$16,000,000","$18,350,000",11-50,"San Francisco, California, United States",9,"Jul 1, 2022"
NAX Group,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/d5cip2hkwrvf2rwl66v9","Blockchain, Financial Services, FinTech, Software","NAX enables a corporate partner to realize the full potential of its proprietary assets through the development of new asset-backed ventures and securities. From seed to securitization, NAX co-leads the commercialization of these initiatives alongside its partners. It has three distinct but complementary platforms to repurpose corporate assets: (i) a development platform, (ii) a technology platform and a (iii) securitization platform. NAX maintains its headquarters in Manhattan Beach, CA and has offices in Palo Alto, New York, London, Paris, Zurich and Frankfurt.",NAX - New Asset eXchange - creates new markets and ecosystems around corporate assets.,"The New Frontiers (TNF), Frank Strauss",Series A,"$65,000,000","$65,000,000",51-100,"Manhattan Beach, California, United States",16,2018
Emitwise,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ndqyayliopduwfr6zh6u","Artificial Intelligence (AI), CleanTech, GreenTech, SaaS, Supply Chain Management","Emitwise’s unique AI technology empowers companies to automatically measure, report, and reduce their carbon footprint across their operations and supply chain, future-proofing businesses for a zero-carbon world. The company is backed by top Silicon Valley investors and trusted by global businesses. Emitwise's mission is to empower businesses to respond to the climate emergency, accelerating the transition to a net-zero carbon world by equipping them with all the tools they need to drive emissions cuts across their operations and supply chain.",Emitwise is an AI-powered carbon management platform that helps businesses in tracking and managing their carbon footprint.,"Social Impact Capital, ArcTern Ventures, Outsized Ventures, True Ventures, Lightbird",Series A,"€9,000,000","$16,645,316",51-100,"London, England, United Kingdom",88,2019
Sedai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/swbiz72khs7s9vcccbxz","Cloud Computing, Cloud Management, Developer Tools, DevOps, Information Technology, SaaS, Software","Sedai delivers AI-powered cloud cost optimization and performance tuning, empowering DevOps and SRE teams to maximize cloud savings, improve customer experience, and seamlessly scale. With Sedai, companies can achieve real-time, continuous optimization adaptable to ongoing changes and growth with minimal human intervention. Sedai enables cloud teams to easily scale and maximize ROI by augmenting operations with autonomous cloud management capabilities.",Sedai delivers AI-powered cloud cost optimization and performance tuning for cloud teams to maximize savings and improve customer experience,"Sierra Ventures, Uncorrelated Ventures, Norwest Venture Partners",Series A,"$15,000,000","$18,500,000",11-50,"Pleasanton, California, United States",65,"Mar 30, 2020"
Hourly,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/eeweuo3v7u0bejjnidvm","Financial Services, FinTech, Human Resources, InsurTech, Software","Hourly is an insurtech/fintech that simplifies workers’ comp insurance, payroll, and time tracking for small business owners. They built the platform to manage, pay, and insure the hourly workforce. They bring enterprise-level technology solutions to small and medium-sized businesses. It was founded in 2018 and is headquartered in Palo Alto, California.","Hourly is a software company that offers payroll and time-tracking solutions for carriers, business owners, and agents.","Inovia Capital, Evolution Ventures, J-Ventures, Vintage Investment Partners, MS&AD Ventures",Series A,"$5,000,000","$39,150,000",51-100,"Palo Alto, California, United States",14,2018
CEEZER,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/uubda0obqapp4dsx72vb","Big Data, CleanTech, Collaboration, Project Management","CEEZER is a digital platform that provides companies with easy, secure, and direct access to high-quality projects from the entire voluntary carbon market. With more than 3.5 million data points, CEEZER brings transparency to the carbon market, highlighting differences in quality, risk, and impact of projects. By connecting directly with project developers and enterprises worldwide, CEEZER enables transactions without intermediaries or hidden fees. CEEZER’s customers are leading corporations and global companies that use the platform to centrally manage their carbon credit portfolios and implement efficient climate actions. For more information, visit ceezer.earth.","CEEZER is a digital platform offering companies easy, secure, direct access to top-quality projects across the voluntary carbon market.","HV Capital, Picus Capital, Norrsken VC, Carbon Removal Partners",Series A,"€10,300,000","$16,327,744",11-50,"Berlin, Berlin, Germany",6,Dec 2021
Ambient Photonics,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/r4gzxsrtplypomhm1jgd","Battery, Electronics, Energy, Energy Efficiency, Internet of Things","Ambient Photonics is a low light energy harvesting PV cells for smart home, consumer electronics, and IoT devices. The proliferation of connected devices promises to revolutionize consumer, commercial and industrial applications with greater convenience, lower operational costs and data-driven performance improvements. Already consumers have fallen in love with smart home conveniences, while many businesses have begun to reap the benefits of connected device driven efficiency gains such as electronic shelf labels and occupancy sensors. Giga scale applications for these technologies are around the corner: the potential exists for billions of wireless sensors to be installed during the coming decade, with nearly half located inside buildings. However, the challenge of reliably and affordably powering these devices has continued to limit IoT viability at scale. Connected electronics require continuous power, which until now has meant batteries that must be periodically replaced or recharged. Legacy photovoltaic technologies like amorphous silicon cells long used on solar calculators and childrens toys don’t yield sufficient power in the real-world, low light operational conditions for most IoT sensors. At the same time, the exorbitant price tag for high performance, low-light PV technologies like gallium arsenide cells has made them suitable only for space satellite and research applications, not mass-market electronics. Ambient has solved both the low power density and high cost problems of legacy low light PV technologies and created the world’s most powerful low light energy harvesting photovoltaic cells - making endless power for IoT electronics a reality for the first time.","Ambient Photonics is a low light energy harvesting PV cells for smart home, consumer electronics, and IoT devices.","Trinity Capital, I Squared Capital, Silicon Valley Bank, Helios Climate Ventures, Climate Pledge Fund",Series A,"$30,000,000","$61,000,000",51-100,"Scotts Valley, California, United States",60,Apr 2019
Kintsugi AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/kufxjnh66ryral7b06qr","Artificial Intelligence (AI), FinTech, Software",Automating sales tax for businesses globally,Automating sales tax for businesses globally,"Plug and Play, DeVC India, Venture Highway, Link Ventures, Plug & Play Design",Series A,"$6,000,000","$8,200,000",11-50,"San Francisco, California, United States",10,"Dec 2, 2022"
Novel Capital,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wkg3lx0gjnjp1w7n1zui","Finance, Financial Services, FinTech, Impact Investing, Venture Capital","Novel Capital’s fintech funding platform breaks down the traditional growth barriers faced by today’s B2B software companies. Their tech-first approach makes it easy for customers to leverage future recurring revenue for immediate access to non-dilutive capital. Paired with online data-driven insights and curated learning resources, the Novel platform empowers entrepreneurs to capitalize on their momentum. Novel Capital aims to support entrepreneurs and growing businesses by offering flexible, non-dilutive capital solutions that help them scale without giving up equity. The company's innovative approach aims to empower entrepreneurs and foster a thriving startup ecosystem.",Novel Capital is a fintech growth platform providing non-dilutive financing to B2B companies.,"Ulu Ventures, IGNIA, Gaingels, MatterScale Ventures, Tenzing.vc",Seed,"$15,000,000","$130,000,000",11-50,"Overland Park, Kansas, United States",14,2018
Datafold,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/tf9eibkmur3piprjfzki","Analytics, Application Performance Management, Big Data, Business Intelligence, Cloud Data Services, Data Integration, Information Technology, Quality Assurance, Software",Datafold builds tools for automating analytical data quality management. It helps companies extract more value from their analytical data by automating Data Engineering workflows like data quality monitoring. It also simplifies data QA by enabling instant table comparison and profiling.,Datafold automates proactive management of analytical data quality,"Y Combinator, New Enterprise Associates, Verissimo Ventures, Amplify Partners, Essence VC",Series A,"$20,000,000","$22,225,000",11-50,"San Francisco, California, United States",7,2020
Thena,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/51206bdc83ac431e8ce152cc2df3dd86","Artificial Intelligence (AI), Software","Thena is a customer engagement platform designed to help companies acquire, service, and grow B2B customers on messaging platforms like Slack and Teams. Founded by Ankit Saxena, Mike Molinet, Govind Kavaturi, and Unmukt Raizada, some of the customers include Branch, Embrace, Mixpanel, WorkRamp, and Spotdraft. Thena is backed by Lightspeed, First Round Capital, Tenacity Ventures, and Pear VC. The platform empowers B2B business to efficiently manage customer channels on messaging platforms like Slack and Teams. It consolidates channels, streamlines interactions, and captures data for powerful customer service and engagement analytics at scale.",Thena is a customer communication platform built for the modern teams and businesses.,"Lightspeed Venture Partners, Pear VC, First Round Capital, Michael Katz, Tenacity Venture Capital",Seed,"$5,000,000","$7,155,000",11-50,"Mountain View, California, United States",9,Apr 2022
Atmo,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/elt63alxnzah4wugw9pz","Artificial Intelligence (AI), Government, Information Technology, Machine Learning, Military, Software","Atmo is the leading company bringing artificial intelligence to meteorology for governments, militaries, and corporations. Based in Silicon Valley, Atmo builds state-of-the-art AI weather forecasts that are up to 50% more accurate, 10x more detailed, and run 40,000x faster. Atmo has rapidly become the trusted AI meteorology partner for high-stakes users worldwide, such as the US Department of Defense, top aerospace companies, the Philippines, and the United Nations. Today, Atmo forecasting systems protect vital infrastructure and enhance economic activity for its partners, including disaster response, renewable energy, agriculture, transportation, and national security.",Ultra-precise AI weather forecasts for governments and enterprises.,Y Combinator,Seed,"$11,200,000","$11,200,000",11-50,"San Francisco, California, United States",6,2020
Loop AI - Delivery Intelligence Platform,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/nui79jghmy2trdckewte","Artificial Intelligence (AI), Enterprise Software, Machine Learning, SaaS",—,A co-pilot for modern food brands,"Alumni Ventures, Afore Capital, Base10 Partners, Nkechi Iregbulem",Seed,"$6,000,000","$6,000,000",11-50,"San Francisco, California, United States",9,"Jun 13, 2022"
Hyperlane,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wjwkq9kt3o5dwv9tbba0","Blockchain, Enterprise Software",Hyperlane platform helps developers connect applications across blockchains.,Hyperlane platform helps developers connect applications across blockchains.,"Blockdaemon, Circle, Figment, Variant, Hypersphere Ventures",Seed,"$18,500,000","$18,500,000",11-50,"Greenwich, Connecticut, United States",4,2022
FlapKap,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/a78912a7a8aa4b4b84e20271cd6614c6","E-Commerce, Financial Services, FinTech, SaaS","FlapKap develops a revenue-based financing solution platform for e-commerce and SaaS businesses. The company aims at helping e-commerce businesses and other consumer-facing industries like retail and restaurants scale their inventory and digital advertising through prompt funding, coupled with flexible repayment terms. FlapKap assesses businesses across multiple platforms, including e-commerce, advertising, online reviews, payment gateways, PoS systems, bank accounts, and Enterprise Resource Planning (ERP) platforms.",FlapKap develops a revenue-based financing solution platform for e-commerce and SaaS businesses.,"BECO Capital, QED Investors, A15, PactVC, Nclude",Seed,"$34,000,000","$38,800,000",11-50,"Abu Dhabi, Abu Dhabi, United Arab Emirates",15,2022
Pivot,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/dbi2bhjdviqeboldqjrx","Financial Services, FinTech, Procurement","Pivot is the ultimate modern Source-to-Pay tool to help you keep your spend under control, reduce your vendors risk at scale and empower your business teams. Natively integrated with all your tools, fueled by AI, and built around a top-notch UX, Pivot solves the adoption problem within your company, makes all support teams collaborate seamlessly, and provides procurement teams with powerful tools to extract data and make meaningful decisions. Pivot's end-to-end platform is powering leading companies worldwide.",The ultimate Source-to-Pay solution for modern companies,"Hedosophia, Hanno Renner, Anamcara Capital, Emblem, Cocoa",Series A,"€20,000,000","€25,000,000",51-100,"Paris, Ile-de-France, France",6,May 2023
Banxware,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/cadsdhck8858siyfado3","Banking, Financial Services, FinTech, Information Technology, Software","The Fintech startup Banxware specializes in embedded lending solutions tailored to platform-based businesses, fintechs, and banks. In a rapidly evolving digital economy, flexible financing holds increasing importance. The data-driven technology seamlessly integrates lending solutions into various platforms, enabling SMEs, e-commerce sellers, and restaurant owners to access the required liquidity. Banxware’s commitment lies in bolstering platforms, promoting growth, and enhancing customer convenience by providing essential financial infrastructure. With Banxware, platforms can instantly launch tailored embedded lending solutions across Europe. The company was founded in 2020 by Miriam Wohlfarth, Jens Röhrborn, and Fabian Heiß and employs 50+ people in their Berlin headquarters.",Banxware provides the technology and the funds for business financing of any kind: fully embedded in platforms or as an affiliate solution,"HTGF | High-Tech Gruenderfonds, UniCredit, Fabrick, Fin Capital, Redstone.VC",Series A,"€15,000,000","€29,000,000",51-100,"Berlin, Berlin, Germany",5,2020
jaris,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rcjvzkw1hx06le0vbz59","Financial Services, FinTech, Productivity Tools, SaaS, Software","Jaris offers purpose-built, private-label embedded financial solutions that help POS systems, ISVs, SaaS businesses, and marketplaces drive engagement, reduce churn, and increase revenue.",Jaris delivers private-label embedded financial services to software-enabled payment providers.,"Franklin Templeton, Wing Venture Capital, GSR Ventures",Series B,"$31,000,000","$31,000,000",11-50,"Burlingame, California, United States",178,"Jun 1, 2018"
Symmetry Systems,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/n9v83m5p66ns7kxg8tvm","Cloud Security, Cyber Security, Data Management, Information Technology, Security, Software","Symmetry Systems is the Data+AI Security company. Our platform is engineered specifically to address modern data security and privacy challenges at scale from the data out, providing organizations the ability to innovate with confidence. With total visibility into what data you have, where it lives, who can access it, and how it's being used, Symmetry safeguards your organization's data from misuse, insider threats, and cybercriminals, as well as unintended exposure of sensitive IP and personal information through use of generative AI technologies. Symmetry works with structured and unstructured data in all major clouds (AWS, GCP, Azure), SaaS storage services (e.g. OneDrive), and on-premise databases and data lakes. It is deployable in the most strictly regulated environments; as a read-only service, it inherits all your security and compliance controls (e.g. FedRamp). That’s why the most innovative Fortune 50 financial service providers, manufacturers, pharmaceutical companies, and federal agencies rely on Symmetry to protect their crown jewel data. Powered by best-in-class AI, Symmetry provides organizations with the necessary toolkit to minimize data posture risks, demonstrate compliance, and react to threats and policy violations in real time. Symmetry solves challenging problems for customers with ease, ranging from classifying custom data types, reducing data blast radius and attack surface, detecting ransomware attacks, enforcing least-privilege access, and more. Born from the award-winning and DARPA funded Spark Research Lab at UT Austin, Symmetry is backed by leading security investors like ForgePoint, Prefix Capital, and others. Symmetry is proud to be the only vendor of its kind to be both recognized as a ""Cool Vendor in Data Security"" by Gartner, and achieve AWS Security Competency in Data Protection.","The Data+AI Security company. We safeguard data, detect threats, ensure compliance & reduce AI risks, so you can Innovate with Confidence","Trousdale Ventures, Accenture Ventures, Forgepoint Capital, Adit Ventures, Shane Neman",Series B,"$17,700,000","$35,700,000",11-50,"San Mateo, California, United States",11,2018
